sample_id,tissue,plant_id,per_thin,shd_trt,fert_trt,plot_type,per_n,per_c,c_n
1,leaf,F1,0,shd,h,hshd,2.59,45.1,17.4147
2,leaf,F2,66,shd,h,hshd,2.22,44.75,20.139
3,leaf,F3,0,shd,h,hshd,2.68,48.7,18.1621
4,leaf,F4,0,shd,h,hshd,2.57,46.73,18.1715
5,leaf,F5,66,shd,h,hshd,2.5,46.27,18.4855
6,leaf,F6,0,shd,h,hshd,2.51,45.82,18.2872
7,leaf,F7,66,shd,h,hshd,2.43,46.6,19.1652
8,leaf,F8,0,shd,h,hshd,2.53,46.63,18.4332
9,leaf,F9,66,shd,h,hshd,2.63,46.36,17.5976
10,leaf,F10,66,shd,h,hshd,2.75,42.02,15.2895
11,leaf,F11,0,shd,l,lshd,2.76,46.01,16.6838
12,leaf,F12,0,shd,l,lshd,2.64,44.8,16.9716
13,leaf,F13,0,shd,l,lshd,2.05,46.21,22.5078
14,leaf,F14,66,shd,l,lshd,2.58,45.59,17.6922
15,leaf,F15,66,shd,l,lshd,2.6,47.07,18.1261
16,leaf,F16,66,shd,l,lshd,2.5,46.02,18.3951
17,leaf,F17,66,shd,l,lshd,2.33,46.1,19.8251
18,leaf,F18,0,shd,l,lshd,2.56,46.62,18.1774
19,leaf,F19,66,shd,l,lshd,2.43,47.24,19.4289
20,leaf,F20,0,shd,l,lshd,2.27,46.84,20.6136
21,leaf,F21,66,sun,l,lsun,2.43,46.16,19.0012
22,leaf,F22,66,sun,l,lsun,2.32,46.79,20.1262
23,leaf,F23,0,sun,l,lsun,2.28,46.55,20.3785
24,leaf,F24,0,sun,l,lsun,2.28,46.42,20.3758
25,leaf,F25,0,sun,l,lsun,2.36,47.62,20.1398
26,leaf,F26,66,sun,l,lsun,2.21,47.31,21.4312
27,leaf,F27,66,sun,l,lsun,2.41,47.55,19.6941
28,leaf,F28,0,sun,l,lsun,2.02,45.22,22.3625
29,leaf,F29,66,sun,l,lsun,2.61,46.76,17.892
30,leaf,F30,0,sun,l,lsun,2.44,45.02,18.428
31,leaf,F31,66,sun,h,hsun,2.41,49.43,20.5157
32,leaf,F32,0,sun,h,hsun,2.63,46.56,17.6728
33,leaf,F33,66,sun,h,hsun,NA,NA,NA
34,leaf,F34,0,sun,h,hsun,NA,NA,NA
35,leaf,F35,66,sun,h,hsun,NA,NA,NA
36,leaf,F36,66,sun,h,hsun,NA,NA,NA
37,leaf,F37,0,sun,h,hsun,2.37,47.91,20.2339
38,leaf,F38,66,sun,h,hsun,2.6,48.83,18.8063
39,leaf,F39,0,sun,h,hsun,2.53,47.8,18.8559
40,leaf,F40,0,sun,h,hsun,2.22,47.92,21.5389
41,stem,F1,0,shd,h,hshd,1.76,43.74,24.8945
42,stem,F2,66,shd,h,hshd,1.98,45.89,23.131
43,stem,F3,0,shd,h,hshd,2.39,44.24,18.4734
44,stem,F4,0,shd,h,hshd,1.86,44.02,23.6762
45,stem,F5,66,shd,h,hshd,2.41,45.09,18.6926
46,stem,F6,0,shd,h,hshd,2.08,43.96,21.1608
47,stem,F7,66,shd,h,hshd,1.83,43.82,23.9597
48,stem,F8,0,shd,h,hshd,2.35,44.6,19.0158
49,stem,F9,66,shd,h,hshd,1.83,44.45,24.3544
50,stem,F10,66,shd,h,hshd,2.21,45.61,20.6598
51,stem,F11,0,shd,l,lshd,2.14,45.79,21.3933
52,stem,F12,0,shd,l,lshd,1.82,45.08,24.8201
53,stem,F13,0,shd,l,lshd,1.48,45.49,30.8105
54,stem,F14,66,shd,l,lshd,1.83,44.26,24.1512
55,stem,F15,66,shd,l,lshd,2.18,45.88,21.0045
56,stem,F16,66,shd,l,lshd,2.25,44.51,19.8166
57,stem,F17,66,shd,l,lshd,2.1,45.04,21.4803
58,stem,F18,0,shd,l,lshd,2.25,46.19,20.5496
59,stem,F19,66,shd,l,lshd,2,45.67,22.8081
60,stem,F20,0,shd,l,lshd,2.12,44.51,21.0034
61,stem,F21,66,sun,l,lsun,1.98,44.33,22.422
62,stem,F22,66,sun,l,lsun,1.87,45.16,24.1969
63,stem,F23,0,sun,l,lsun,2.1,45.55,21.707
64,stem,F24,0,sun,l,lsun,1.62,46.3,28.5893
65,stem,F25,0,sun,l,lsun,1.81,45.15,25.0063
66,stem,F26,66,sun,l,lsun,2.46,46.94,19.0679
67,stem,F27,66,sun,l,lsun,1.94,44.63,23.0263
68,stem,F28,0,sun,l,lsun,1.66,44.41,26.8031
69,stem,F29,66,sun,l,lsun,2.4,45.5,18.9436
70,stem,F30,0,sun,l,lsun,1.67,42.22,25.3542
71,stem,F31,66,sun,h,hsun,2.46,45.67,18.5397
72,stem,F32,0,sun,h,hsun,2.2,44.71,20.2816
73,stem,F33,66,sun,h,hsun,2.01,45,22.4273
74,stem,F34,0,sun,h,hsun,2.16,46.05,21.33
75,stem,F35,66,sun,h,hsun,2.1,45.1,21.4692
76,stem,F36,66,sun,h,hsun,2.33,44.68,19.1477
77,stem,F37,0,sun,h,hsun,1.88,43.95,23.3219
78,stem,F38,66,sun,h,hsun,1.88,43.97,23.4192
79,stem,F39,0,sun,h,hsun,2.01,45.01,22.3873
80,stem,F40,0,sun,h,hsun,1.88,44.68,23.7241
