sample_id,tissue,plant_id,per_thin,shd_trt,fert_trt,plot_type,per_n,per_c,c_n
1,leaf,F1,0,shd,h,hshd,2.37,44.77,18.8929
2,leaf,F2,66,shd,h,hshd,3.04,45.53,14.9874
3,leaf,F3,0,shd,h,hshd,2.65,47.18,17.8324
4,leaf,F4,0,shd,h,hshd,2.15,45.93,21.41
5,leaf,F5,66,shd,h,hshd,2.67,44.59,16.7215
6,leaf,F6,0,shd,h,hshd,2.63,47.73,18.1573
7,leaf,F7,66,shd,h,hshd,2.51,46.23,18.4064
8,leaf,F8,0,shd,h,hshd,2.64,44.66,16.9315
9,leaf,F9,66,shd,h,hshd,2.99,44.01,14.7137
10,leaf,F10,66,shd,h,hshd,2.78,45.83,16.4967
11,leaf,F11,0,shd,l,lshd,2.3,44.65,19.3884
12,leaf,F12,0,shd,l,lshd,2.51,45.8,18.2296
13,leaf,F13,0,shd,l,lshd,2.08,45.49,21.8373
14,leaf,F14,66,shd,l,lshd,2.57,44.27,17.2395
15,leaf,F15,66,shd,l,lshd,2.83,46.29,16.3819
16,leaf,F16,66,shd,l,lshd,2.8,45.29,16.1495
17,leaf,F17,66,shd,l,lshd,2.52,45.12,17.9088
18,leaf,F18,0,shd,l,lshd,2.58,45.25,17.5231
19,leaf,F19,66,shd,l,lshd,2.39,45.29,18.9797
20,leaf,F20,0,shd,l,lshd,1.99,48.21,24.2442
21,leaf,F21,66,sun,l,lsun,2.76,45.77,16.5935
22,leaf,F22,66,sun,l,lsun,2.34,45.13,19.29
23,leaf,F23,0,sun,l,lsun,2.68,46.75,17.4741
24,leaf,F24,0,sun,l,lsun,2.08,46.16,22.1411
25,leaf,F25,0,sun,l,lsun,2.34,44.96,19.2344
26,leaf,F26,66,sun,l,lsun,2.53,44.7,17.6759
27,leaf,F27,66,sun,l,lsun,2.57,45.48,17.682
28,leaf,F28,0,sun,l,lsun,2.08,44.99,21.5792
29,leaf,F29,66,sun,l,lsun,2.47,45.19,18.3227
30,leaf,F30,0,sun,l,lsun,2.36,46.59,19.7717
31,leaf,F31,66,sun,h,hsun,2.67,46.4,17.3518
32,leaf,F32,0,sun,h,hsun,2.42,46.7,19.3219
33,leaf,F33,66,sun,h,hsun,2.47,45.18,18.3129
34,leaf,F34,0,sun,h,hsun,2.6,44.27,17.0369
35,leaf,F35,66,sun,h,hsun,2.76,45.67,16.5607
36,leaf,F36,66,sun,h,hsun,2.55,46.51,18.2662
37,leaf,F37,0,sun,h,hsun,2.09,47.2,22.5913
38,leaf,F38,66,sun,h,hsun,2.46,45.62,18.5728
39,leaf,F39,0,sun,h,hsun,2.29,47.25,20.5907
40,leaf,F40,0,sun,h,hsun,2.05,46.38,22.649
41,stem,F1,0,shd,h,hshd,1.1,44.59,40.5862
42,stem,F2,66,shd,h,hshd,1.94,43.41,22.375
43,stem,F3,0,shd,h,hshd,1.4,44.28,31.5981
44,stem,F4,0,shd,h,hshd,1.21,43.2,35.742
45,stem,F5,66,shd,h,hshd,1.79,44.06,24.5766
46,stem,F6,0,shd,h,hshd,1.13,44.68,39.5289
47,stem,F7,66,shd,h,hshd,1.68,45.45,27.0401
48,stem,F8,0,shd,h,hshd,1.81,44.29,24.442
49,stem,F9,66,shd,h,hshd,2.18,43.64,19.98
50,stem,F10,66,shd,h,hshd,1.61,43.43,27.0552
51,stem,F11,0,shd,l,lshd,1.13,44.47,39.2423
52,stem,F12,0,shd,l,lshd,1.35,43.78,32.4511
53,stem,F13,0,shd,l,lshd,1.1,43.98,40.0108
54,stem,F14,66,shd,l,lshd,1.73,44.27,25.6381
55,stem,F15,66,shd,l,lshd,2.13,44.18,20.7645
56,stem,F16,66,shd,l,lshd,1.65,43.79,26.5282
57,stem,F17,66,shd,l,lshd,1.67,43.99,26.4047
58,stem,F18,0,shd,l,lshd,1.67,43.68,26.1026
59,stem,F19,66,shd,l,lshd,1.69,44.8,26.4532
60,stem,F20,0,shd,l,lshd,1.02,43.82,43.0888
61,stem,F21,66,sun,l,lsun,1.71,42.87,25.1122
62,stem,F22,66,sun,l,lsun,1.84,44.42,24.0852
63,stem,F23,0,sun,l,lsun,1.4,43.42,31.0429
64,stem,F24,0,sun,l,lsun,1.14,44.91,39.4691
65,stem,F25,0,sun,l,lsun,1.26,44.56,35.4098
66,stem,F26,66,sun,l,lsun,1.52,44.02,29.0165
67,stem,F27,66,sun,l,lsun,1.55,43.7,28.243
68,stem,F28,0,sun,l,lsun,1.67,45.11,27.0705
69,stem,F29,66,sun,l,lsun,1.28,42.96,33.5012
70,stem,F30,0,sun,l,lsun,1.31,42.31,32.2881
71,stem,F31,66,sun,h,hsun,1.58,43.84,27.7193
72,stem,F32,0,sun,h,hsun,1.28,43.95,34.4499
73,stem,F33,66,sun,h,hsun,1.46,44.06,30.1619
74,stem,F34,0,sun,h,hsun,1.6,42.79,26.715
75,stem,F35,66,sun,h,hsun,1.64,45.06,27.5421
76,stem,F36,66,sun,h,hsun,1.76,43.7,24.8384
77,stem,F37,0,sun,h,hsun,1.05,45,43.0249
78,stem,F38,66,sun,h,hsun,1.76,43.63,24.7595
79,stem,F39,0,sun,h,hsun,1.5,44.54,29.7391
80,stem,F40,0,sun,h,hsun,1.18,41.57,35.2111
