sample_id,tissue,plant_id,per_thin,shd_trt,fert_trt,plot_type,per_n,per_c,c_n
1,leaf,F1,0,shd,h,hshd,7.05,57.65,8.1718
2,leaf,F2,66,shd,h,hshd,5.13,50.96,9.9338
3,leaf,F3,0,shd,h,hshd,6.02,44.07,7.3263
4,leaf,F4,0,shd,h,hshd,4.86,45.8,9.4313
5,leaf,F5,66,shd,h,hshd,4.71,38.8,8.2456
6,leaf,F6,0,shd,h,hshd,5.47,44.94,8.2199
7,leaf,F7,66,shd,h,hshd,5.53,48.25,8.7314
8,leaf,F8,0,shd,h,hshd,5.28,39.69,7.5197
9,leaf,F9,66,shd,h,hshd,7.12,56.94,7.9922
10,leaf,F10,66,shd,h,hshd,6.66,50.87,7.6418
11,leaf,F11,0,shd,l,lshd,5.49,41.14,7.4929
12,leaf,F12,0,shd,l,lshd,6.95,49.68,7.1519
13,leaf,F13,0,shd,l,lshd,5.19,41.49,8.0017
14,leaf,F14,66,shd,l,lshd,6.19,55.81,9.02
15,leaf,F15,66,shd,l,lshd,4.25,34.24,8.0532
16,leaf,F16,66,shd,l,lshd,6.49,60.28,9.2815
17,leaf,F17,66,shd,l,lshd,5.72,45.09,7.8891
18,leaf,F18,0,shd,l,lshd,4.38,39.75,9.0733
19,leaf,F19,66,shd,l,lshd,5.11,40.43,7.9048
20,leaf,F20,0,shd,l,lshd,6.21,62.98,10.1451
21,leaf,F21,66,sun,l,lsun,3.95,41.46,10.5006
22,leaf,F22,66,sun,l,lsun,5.9,46.19,7.8292
23,leaf,F23,0,sun,l,lsun,5.29,44.45,8.4014
24,leaf,F24,0,sun,l,lsun,5.38,43.79,8.145
25,leaf,F25,0,sun,l,lsun,5.05,43.41,8.5958
26,leaf,F26,66,sun,l,lsun,5.74,58.59,10.2081
27,leaf,F27,66,sun,l,lsun,4.58,46.39,10.1325
28,leaf,F28,0,sun,l,lsun,3.52,41.39,11.7556
29,leaf,F29,66,sun,l,lsun,5.49,50.85,9.2617
30,leaf,F30,0,sun,l,lsun,3.58,38.75,10.8132
31,leaf,F31,66,sun,h,hsun,7.4,60.14,8.1276
32,leaf,F32,0,sun,h,hsun,3.65,36.94,10.1293
33,leaf,F33,66,sun,h,hsun,7.24,57.02,7.872
34,leaf,F34,0,sun,h,hsun,4.23,39.12,9.2379
35,leaf,F35,66,sun,h,hsun,5.46,46.59,8.5322
36,leaf,F36,66,sun,h,hsun,5.11,42.51,8.3136
37,leaf,F37,0,sun,h,hsun,5.26,46.8,8.9029
38,leaf,F38,66,sun,h,hsun,5.75,51.47,8.9515
39,leaf,F39,0,sun,h,hsun,6.69,55.58,8.3108
40,leaf,F40,0,sun,h,hsun,2.86,47.32,16.5361
41,stem,F1,0,shd,h,hshd,3.47,45.05,12.9985
42,stem,F2,66,shd,h,hshd,2.75,49.48,17.996
43,stem,F3,0,shd,h,hshd,4.09,47.42,11.5905
44,stem,F4,0,shd,h,hshd,4.58,55.52,12.1297
45,stem,F5,66,shd,h,hshd,3.98,48.45,12.1672
46,stem,F6,0,shd,h,hshd,4.02,44.73,11.1213
47,stem,F7,66,shd,h,hshd,4.03,50.21,12.4455
48,stem,F8,0,shd,h,hshd,5.25,52.72,10.0456
49,stem,F9,66,shd,h,hshd,4.8,43.47,9.051
50,stem,F10,66,shd,h,hshd,3.92,43.84,11.1834
51,stem,F11,0,shd,l,lshd,3.4,50.61,14.8676
52,stem,F12,0,shd,l,lshd,5.11,39.79,7.7908
53,stem,F13,0,shd,l,lshd,5.95,56.18,9.4437
54,stem,F14,66,shd,l,lshd,3.39,44.98,13.2704
55,stem,F15,66,shd,l,lshd,4.56,49.56,10.8701
56,stem,F16,66,shd,l,lshd,3.59,56.07,15.6158
57,stem,F17,66,shd,l,lshd,3.75,43.36,11.556
58,stem,F18,0,shd,l,lshd,3.93,49.67,12.6396
59,stem,F19,66,shd,l,lshd,3.38,44.89,13.2954
60,stem,F20,0,shd,l,lshd,3.02,50.37,16.704
61,stem,F21,66,sun,l,lsun,4.09,47.61,11.6399
62,stem,F22,66,sun,l,lsun,2.92,36.47,12.5081
63,stem,F23,0,sun,l,lsun,5.71,55.64,9.7473
64,stem,F24,0,sun,l,lsun,4.06,46.76,11.5112
65,stem,F25,0,sun,l,lsun,6.37,64.11,10.0654
66,stem,F26,66,sun,l,lsun,2.62,41.94,16.0164
67,stem,F27,66,sun,l,lsun,5.12,54.27,10.6075
68,stem,F28,0,sun,l,lsun,2.23,37.31,16.7069
69,stem,F29,66,sun,l,lsun,3.91,60.04,15.3521
70,stem,F30,0,sun,l,lsun,2.85,39.28,13.7929
71,stem,F31,66,sun,h,hsun,4.98,62.95,12.6301
72,stem,F32,0,sun,h,hsun,2.36,32.06,13.6081
73,stem,F33,66,sun,h,hsun,6.47,65.38,10.0992
74,stem,F34,0,sun,h,hsun,3.39,43.14,12.715
75,stem,F35,66,sun,h,hsun,4.08,51.74,12.6798
76,stem,F36,66,sun,h,hsun,4.74,50.89,10.7409
77,stem,F37,0,sun,h,hsun,4.75,48.81,10.265
78,stem,F38,66,sun,h,hsun,3.13,37.04,11.8214
79,stem,F39,0,sun,h,hsun,5.55,63.18,11.39
80,stem,F40,0,sun,h,hsun,1.62,47.37,29.2478
