"branch_id","plant_id","plant_num","orientation","farmer","plot_id","plot_type","fert_trt","shd_trt","per_thin","n1i_tot_len","n1i_new_len","n1i_diam","n1i_tot_nod","n1i_new_nod","n1i_frtd_nod","n1i_frt","n1i_tot_lvs","n1i_sick_lvs","n1i_sick_type","n1i_pot_nod","n1i_frt_pot_nod","potnod_v_frtnod","n1i_ffnod","n1h_tot_len","n1h_new_len","n1h_diam","n1h_tot_nod","n1h_new_nod","n1h_frtd_nod","n1h_frt","n1h_tot_lvs","n1h_sick_lvs","n1h_sick_type","n1_anth","n1_lat","n1_dens","plot_thin"
"1057","1","1","N","Fernando","X1","hshd","h","shd","66",37.5,11.5,5.5,13,6,7,96,12,1,"o",7,13.71428571,0,13.71428571,44,19.5,5,16,9,7,96,12,5,"or","n ",0,114,"66 hshd"
"1058","1","1","S","Fernando","X1","hshd","h","shd","66",41,11.5,4,13,5,8,129,12,0,"na",8,16.125,0,16.125,42.5,16,4,15,7,8,81,9,1,"o ","n",1,73,"66 hshd"
"1059","1","1","E","Fernando","X1","hshd","h","shd","66",36.5,12.5,5,13,5,7,85,12,1,"u",8,10.625,1,12.14285714,44,15,4.5,17,9,8,72,15,2,"o","n",0,100,"66 hshd"
"1060","1","1","W","Fernando","X1","hshd","h","shd","66",37.5,11.5,5,14,5,9,109,9,0,"na",9,12.11111111,0,12.11111111,40,16.5,4.5,18,9,7,62,11,4,"o","n",0,88,"66 hshd"
"1061","2","2","N","Fernando","X1","hshd","h","shd","66",39,16.5,4.5,11,6,5,30,14,3,"ou",5,6,0,6,60,38,8,18,11,5,9,21,3,"o","n",7,88,"66 hshd"
"1062","2","2","S","Fernando","X1","hshd","h","shd","66",24,11,3,7,4,3,7,12,1,"a",3,2.333333333,0,2.333333333,45.5,32.5,4.5,12,9,2,3,19,0,"na","n",0,106,"66 hshd"
"1063","2","2","E","Fernando","X1","hshd","h","shd","66",40.5,12,4.5,13,5,8,54,9,0,"na",8,6.75,0,6.75,63,31,7,19,10,8,26,17,2,"o","n",9,150,"66 hshd"
"1064","2","2","W","Fernando","X1","hshd","h","shd","66",30.5,11.5,3.5,10,5,5,12,22,5,"or",5,2.4,0,2.4,54.5,31.5,5,16,11,5,11,25,3,"o","n",0,84,"66 hshd"
"1065","3","3","N","Fernando","X1","hshd","h","shd","66",37,18,5,11,6,4,15,15,1,"ou",5,3,1,3.75,40,20.5,4,12,7,3,11,14,5,"or","n",0,76,"66 hshd"
"1066","3","3","S","Fernando","X1","hshd","h","shd","66",39,9,5,12,4,7,56,18,3,"ou",8,7,1,8,60,30,5,19,11,7,38,25,3,"or","n",2,164,"66 hshd"
"1067","3","3","E","Fernando","X1","hshd","h","shd","66",46,12.5,5,11,5,6,37,19,1,"o",6,6.166666667,0,6.166666667,59,36,5,18,12,6,30,25,7,"o","n",0,168,"66 hshd"
"1068","3","3","W","Fernando","X1","hshd","h","shd","66",41,13,6.5,12,5,7,40,15,1,"r",7,5.714285714,0,5.714285714,61,35,5.5,20,13,7,33,19,7,"o","n",0,63,"66 hshd"
"1069","4","4","N","Fernando","X1","hshd","h","shd","66",42,7,4.5,16,4,9,113,8,3,"or",12,9.416666667,3,12.55555556,46.5,11.5,6,19,7,9,26,10,5,"ou","n",0,65,"66 hshd"
"1070","4","4","S","Fernando","X1","hshd","h","shd","66",26,10,3.5,10,5,5,28,11,2,"o",5,5.6,0,5.6,34,19,4,13,8,5,13,7,4,"o","n",0,163,"66 hshd"
"1071","4","4","E","Fernando","X1","hshd","h","shd","66",28.5,13,3,9,5,4,16,11,0,"na",4,4,0,4,37,23,4,12,8,4,14,12,1,"u","n",0,87,"66 hshd"
"1072","4","4","W","Fernando","X1","hshd","h","shd","66",24,8,3.5,8,4,4,14,16,2,"u",4,3.5,0,3.5,36.5,20,4,11,7,4,8,20,4,"o","n",0,109,"66 hshd"
"1073","5","5","N","Fernando","X1","hshd","h","shd","0",38,8.5,4.5,15,5,10,128,10,0,"na",10,12.8,0,12.8,42,14,5.5,18,8,10,101,11,5,"o","n",0,87,"0 hshd"
"1074","5","5","S","Fernando","X1","hshd","h","shd","0",39,12,4.5,16,6,8,57,11,0,"na",10,5.7,2,7.125,48,19,4.5,21,10,8,46,15,6,"or","n",0,124,"0 hshd"
