branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,n1i_tot_len,n1i_tot_nod,n1i_frtd_nod,n1i_frt,n1i_tot_lvs,n1h_tot_len,n1h_tot_nod,n1h_frtd_nod,n1h_frt,n1h_tot_lvs
1057,1,1,N,Fernando,X1,hshd,h,shd,66,37.5,13,7,96,12,44,16,7,96,12
1058,1,1,S,Fernando,X1,hshd,h,shd,66,41,13,8,129,12,42.5,15,8,81,9
1059,1,1,E,Fernando,X1,hshd,h,shd,66,36.5,13,7,85,12,44,17,8,72,15
1060,1,1,W,Fernando,X1,hshd,h,shd,66,37.5,14,9,109,9,40,18,7,62,11
1061,2,2,N,Fernando,X1,hshd,h,shd,66,39,11,5,30,14,60,18,5,9,21
1062,2,2,S,Fernando,X1,hshd,h,shd,66,24,7,3,7,12,45.5,12,2,3,19
1063,2,2,E,Fernando,X1,hshd,h,shd,66,40.5,13,8,54,9,63,19,8,26,17
1064,2,2,W,Fernando,X1,hshd,h,shd,66,30.5,10,5,12,22,54.5,16,5,11,25
1065,3,3,N,Fernando,X1,hshd,h,shd,66,37,11,4,15,15,40,12,3,11,14
1066,3,3,S,Fernando,X1,hshd,h,shd,66,39,12,7,56,18,60,19,7,38,25
1067,3,3,E,Fernando,X1,hshd,h,shd,66,46,11,6,37,19,59,18,6,30,25
1068,3,3,W,Fernando,X1,hshd,h,shd,66,41,12,7,40,15,61,20,7,33,19
1069,4,4,N,Fernando,X1,hshd,h,shd,66,42,16,9,113,8,46.5,19,9,26,10
1070,4,4,S,Fernando,X1,hshd,h,shd,66,26,10,5,28,11,34,13,5,13,7
1071,4,4,E,Fernando,X1,hshd,h,shd,66,28.5,9,4,16,11,37,12,4,14,12
1072,4,4,W,Fernando,X1,hshd,h,shd,66,24,8,4,14,16,36.5,11,4,8,20
1073,5,5,N,Fernando,X1,hshd,h,shd,0,38,15,10,128,10,42,18,10,101,11
1074,5,5,S,Fernando,X1,hshd,h,shd,0,39,16,8,57,11,48,21,8,46,15
1075,5,5,E,Fernando,X1,hshd,h,shd,0,36,14,7,69,12,50,20,6,50,17
1076,5,5,W,Fernando,X1,hshd,h,shd,0,32,12,6,81,15,36.5,15,6,71,14
1077,6,6,N,Fernando,X1,hshd,h,shd,0,26,11,5,21,14,31,13,5,18,17
1078,6,6,S,Fernando,X1,hshd,h,shd,0,38,13,7,67,18,48,16,7,43,14
1079,6,6,E,Fernando,X1,hshd,h,shd,0,28,9,3,23,17,44,15,3,22,21
1080,6,6,W,Fernando,X1,hshd,h,shd,0,33.5,10,5,41,16,40,12,5,30,14
1081,7,7,N,Fernando,X1,hshd,h,shd,0,36,12,6,68,18,45.5,16,6,58,16
1082,7,7,S,Fernando,X1,hshd,h,shd,0,46,16,10,124,18,55,19,10,94,19
1083,7,7,E,Fernando,X1,hshd,h,shd,0,36,12,7,79,15,49,16,7,65,15
1084,7,7,W,Fernando,X1,hshd,h,shd,0,29.5,11,6,31,11,29,11,5,21,7
1085,8,8,N,Fernando,X1,hshd,h,shd,0,37.5,13,7,108,12,46,16,7,89,15
1086,8,8,S,Fernando,X1,hshd,h,shd,0,42.5,14,8,142,17,43.5,17,8,101,1
1087,8,8,E,Fernando,X1,hshd,h,shd,0,27,11,2,3,18,28,11,0,0,11
1088,8,8,W,Fernando,X1,hshd,h,shd,0,38.5,15,6,40,14,43,18,7,36,14
1089,9,9,N,Fernando,X1,hshd,h,shd,0,41,14,8,81,12,44,17,8,81,15
1090,9,9,S,Fernando,X1,hshd,h,shd,0,30,12,6,22,9,36,15,7,19,7
1091,9,9,E,Fernando,X1,hshd,h,shd,0,25,11,5,25,9,27,14,5,17,10
1092,9,9,W,Fernando,X1,hshd,h,shd,0,40,14,9,92,15,44,17,9,54,16
1093,10,10,N,Fernando,X1,hshd,h,shd,66,42.5,14,8,75,13,44,16,8,58,5
1094,10,10,S,Fernando,X1,hshd,h,shd,66,40,15,9,157,10,42,17,10,87,13
1095,10,10,E,Fernando,X1,hshd,h,shd,66,35,13,11,123,5,36,15,9,63,0
1096,10,10,W,Fernando,X1,hshd,h,shd,66,34,13,8,93,10,36,15,8,70,4
1097,11,11,N,Fernando,X1,hshd,h,shd,0,33.5,10,5,58,15,42,13,5,58,14
1098,11,11,S,Fernando,X1,hshd,h,shd,0,42,13,7,82,11,30,10,4,20,9
1099,11,11,E,Fernando,X1,hshd,h,shd,0,41,13,8,96,17,54.5,18,8,90,21
1100,11,11,W,Fernando,X1,hshd,h,shd,0,23,8,4,21,8,43.5,15,7,72,0
1101,12,12,N,Fernando,X1,hshd,h,shd,0,38,15,9,78,10,46,19,9,60,7
1102,12,12,S,Fernando,X1,hshd,h,shd,0,26,10,6,44,11,32,19,6,39,14
1103,12,12,E,Fernando,X1,hshd,h,shd,0,31,13,8,87,10,41,17,8,60,9
1104,12,12,W,Fernando,X1,hshd,h,shd,0,26,12,5,21,11,40,17,7,27,13
1105,13,13,N,Fernando,X1,hshd,h,shd,33,38,13,7,113,13,38.5,16,8,61,5
1106,13,13,S,Fernando,X1,hshd,h,shd,33,31,11,6,97,9,36,13,6,29,4
1107,13,13,E,Fernando,X1,hshd,h,shd,33,37,13,6,52,12,49,17,6,44,15
1108,13,13,W,Fernando,X1,hshd,h,shd,33,35.5,12,6,32,11,37,14,3,25,9
1109,14,14,N,Fernando,X1,hshd,h,shd,33,34.5,10,5,103,8,38,14,7,52,5
1110,14,14,S,Fernando,X1,hshd,h,shd,33,25,10,8,81,9,25,9,6,30,6
1111,14,14,E,Fernando,X1,hshd,h,shd,33,40,13,9,146,11,43,15,8,66,6
1112,14,14,W,Fernando,X1,hshd,h,shd,33,37.5,12,8,141,14,43,15,8,102,8
1113,15,15,N,Fernando,X1,hshd,h,shd,33,30.5,14,9,33,13,38,18,6,21,15
1114,15,15,S,Fernando,X1,hshd,h,shd,33,34,13,9,89,7,39,16,10,68,7
1115,15,15,E,Fernando,X1,hshd,h,shd,33,29,11,7,46,11,38,16,7,38,5
1116,15,15,W,Fernando,X1,hshd,h,shd,33,32.5,14,8,68,11,32,13,7,25,7
1117,16,16,N,Fernando,X1,hshd,h,shd,0,31.5,14,7,32,13,32,14,8,29,5
1118,16,16,S,Fernando,X1,hshd,h,shd,0,27,13,7,20,13,30,14,6,16,11
1119,16,16,E,Fernando,X1,hshd,h,shd,0,33.5,13,9,30,9,38,15,9,26,3
1120,16,16,W,Fernando,X1,hshd,h,shd,0,32,14,6,14,9,31,15,4,7,4
1121,17,17,N,Fernando,X1,hshd,h,shd,66,32,12,6,68,12,34.5,14,6,60,10
1122,17,17,S,Fernando,X1,hshd,h,shd,66,45.5,17,12,148,14,49,20,12,104,16
1123,17,17,E,Fernando,X1,hshd,h,shd,66,40.5,14,9,154,14,41,15,9,103,5
1124,17,17,W,Fernando,X1,hshd,h,shd,66,28,9,5,41,13,28,9,5,33,8
