branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_new_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1i_sick_lvs,e1i_sick_id,e1_calc_per_thin,e1i_frt_pot_nod,e1h_len,e1h_tot_nod,e1h_new_nod,e1h_frt_nod,e1h_pot_nod,e1h_tot_fruit,e1h_tot_lvs,e1h_sick,e1h_sick_id,e1h_db_anth,e1h_anthrac,e1i_ht,e1h_ht,e1_ortho,e2f_length,e2f_lat,e2f_tot_nod,e2f_new_nod,e2f_flor_nod,e2f_buds,checkingbuds,e2f_lvs,e2f_sick,e2f_sick_id,e2f_anthrac,e2i_tot_len,e2i_new_len,e2i_diam,e2i_tot_nod,e2i_new_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2i_sick,e2i_sick_id,e2i_lat,e2i_db_anth,e2f_bud_nod ,e2i_ffnod,e2f_bud_nod_int ,e2h_tot_len,e2h_new_len,e2h_diam,e2h_tot_nod,e2h_new_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs,e2h_sick_lvs,e2h_sick_type,e2h_anth,e2h_lat,
1,1,1,N,Fernando,X1,hshd,h,shd,66,31.5,12,9,3,39,19,8,0,NA,51.28205128,2.111111111,38,15,6,2,9,14,10,3,OR,0,N,173,187,4,38,0,15,0,7,31,24,2,1,O,N,40.5,8,4,18,4,5,25,10,2,u,1,0,4.428571429,5,4,48.00,13.50,4.50,21.00,6.00,3.00,18.00,10.00,3.00,o,n,0,
2,1,1,S,Fernando,X1,hshd,h,shd,66,40,14,10,4,82,27,12,0,NA,67.07317073,2.7,62,22,12,4,10,21,23,5,OR,0,N,173,187,4,61,1,22,1,13,146,133,11,2,OU,N,67.5,10.5,5.5,25,6,12,113,15,4,u,5,0,11.23076923,9.416666667,11,70.00,12.00,5.00,28.00,7.00,12.00,96.00,10.00,4.00,o,n,3,
3,1,1,E,Fernando,X1,hshd,h,shd,66,25,10,7,3,7,3,6,0,NA,57.14285714,0.428571429,31,12,4,2,8,3,1,1,R,1,Y,173,187,4,29,0,12,0,0,0,0,0,NA,NA,Y,29,0,3,12,0,0,0,0,0,na,0,1,0,0,0,29.00,0.00,4.00,13.00,0.00,0.00,0.00,0.00,0.00,na,y,0,
4,1,1,W,Fernando,X1,hshd,h,shd,66,29.5,12,7,5,40,7,15,1,O,82.5,1,41.5,17,12,3,5,9,15,8,OU,0,N,173,187,4,42,0,17,1,12,85,73,7,1,U,N,47,6,4.5,20,4,10,46,9,2,u,0,0,7.083333333,4.6,7,43.00,3.00,5.00,18.00,2.00,9.00,38.00,2.00,1.00,u,y,0,
5,2,2,N,Fernando,X1,hshd,h,shd,66,25,8,4,4,34,16,14,0,NA,52.94117647,4,39,12,7,2,5,16,11,7,OR,0,N,106,120,1,39,0,12,1,6,34,28,6,2,OU,N,45,8,4.5,15,4,7,25,8,2,o,0,0,5.666666667,3.571428571,6,46.00,16.00,5.00,15.00,6.00,5.00,17.00,3.00,1.00,o,n,2,
6,2,2,S,Fernando,X1,hshd,h,shd,66,26,8,4,4,38,14,14,0,NA,63.15789474,3.5,45.5,13,8,2,5,12,11,4,OR,0,N,106,120,1,45.5,3,13,3,9,39,30,9,4,OU,N,48,14,4.5,16,7,7,26,8,1,o,6,0,4.333333333,3.714285714,4,49.00,16.00,5.00,16.00,6.00,6.00,19.00,6.00,1.00,o,n,5,
7,2,2,E,Fernando,X1,hshd,h,shd,66,45.5,14,10,4,74,32,9,1,U,56.75675676,3.2,63.5,20,14,3,6,26,16,5,ORU,0,N,106,120,1,66,3,20,2,9,45,36,12,3,O,N,71,19,5.5,23,7,5,19,12,1,u,9,0,5,3.8,5,81.00,30.00,7.00,27.00,11.00,4.00,10.00,12.00,2.00,o,n,6,
8,2,2,W,Fernando,X1,hshd,h,shd,66,50,15,10,5,118,48,19,1,O,59.3220339,4.8,68,21,14,3,7,26,11,5,OU,0,N,106,120,1,68,1,21,2,5,12,7,9,1,O,N,62.5,15,6,24,7,3,8,6,0,na,7,0,2.4,2.666666667,2,44.00,11.00,6.50,14.00,5.00,1.00,2.00,0.00,0.00,na,y,3,rota
9,3,3,N,Fernando,X1,hshd,h,shd,66,26,9,4,5,29,15,12,0,NA,48.27586207,3.75,45,14,10,2,4,12,19,4,OU,0,N,94,122.5,1,46,0,14,1,10,60,50,15,7,OU,N,52.5,13,4.5,17,5,9,40,20,7,ou,1,0,6,4.444444444,6,59.00,20.00,5.50,20.00,8.00,9.00,20.00,22.00,3.00,u,n,1,
10,3,3,S,Fernando,X1,hshd,h,shd,66,24.5,8,4,4,22,12,15,2,O,45.45454545,3,41,13,9,2,4,10,22,9,O,0,N,94,122.5,1,41,0,13,1,10,39,29,18,9,O,N,47.5,10.5,4,15,4,8,17,18,3,ou,1,0,3.9,2.125,4,59.00,24.00,6.00,21.00,9.00,7.00,19.00,24.00,9.00,u,n,2,
11,3,3,E,Fernando,X1,hshd,h,shd,66,26,9,4,5,32,14,14,0,NA,56.25,3.5,39,13,9,2,4,12,19,7,OU,0,N,94,122.5,1,39.5,0,13,1,9,44,35,15,3,OU,N,47,10,4.5,16,4,9,29,19,3,ou,2,0,4.888888889,3.222222222,5,50.00,19.00,5.00,17.00,7.00,5.00,7.00,16.00,2.00,o,n,1,
12,3,3,W,Fernando,X1,hshd,h,shd,66,19,7,3,4,8,5,11,0,NA,37.5,1.666666667,42.5,13,11,1,2,5,20,7,O,0,N,94,122.5,1,42,0,12,1,11,65,54,12,3,O,N,48.5,17,4.5,16,7,9,42,21,6,ou,0,0,5.909090909,4.666666667,6,57.00,26.50,6.00,19.00,10.00,9.00,21.00,9.00,1.00,r,n,0,
13,4,4,N,Fernando,X1,hshd,h,shd,66,27,9,3,6,27,9,18,1,O,66.66666667,3,49,14,10,2,4,7,15,3,OU,0,N,103,118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na,na,na,na,na,na,na,na,
14,4,4,S,Fernando,X1,hshd,h,shd,66,27,24,13,11,8,4,14,0,NA,50,0.307692308,54,15,11,2,4,9,24,3,RU,0,N,103,118,1,53.5,0,15,3,11,127,116,16,4,U,N,54.5,16,5.5,18,6,12,103,17,2,ro,7,0,11.54545455,8.583333333,12,61.00,12.00,6.50,21.00,7.00,9.00,37.00,9.00,5.00,u,n,5,
15,4,4,E,Fernando,X1,hshd,h,shd,66,29,9,5,4,30,12,15,0,NA,60,2.4,49,14,10,2,4,7,22,3,U,0,N,103,118,1,50,0,14,1,12,116,104,18,5,U,N,58,12,6,18,5,11,104,20,6,ro,0,0,9.666666667,9.454545455,10,61.00,16.00,6.50,18.00,6.00,10.00,80.00,15.00,7.00,or,n,2,
16,4,4,W,Fernando,X1,hshd,h,shd,66,25,9,5,4,19,9,12,1,O,52.63157895,1.8,52,16,12,2,4,8,19,4,RU,0,N,103,118,1,52,0,16,1,13,100,87,15,5,OU,N,58,8,6.5,19,4,11,61,16,3,ou,10,0,7.692307692,5.545454545,8,60.00,16.50,6.00,17.00,6.00,10.00,51.00,11.00,2.00,o,n,4,
