branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1h_len,e1h_tot_nod,e1h_frt_nod,e1h_tot_fruit,e1h_tot_lvs,e2f_len,e2f_tot_nod,e2f_flor_nod,e2f_buds,e2f_lvs,e2i_len,e2i_tot_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2h_len,e2h_tot_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs
1,1,1,N,Fernando,X1,hshd,h,shd,66,31.5,12,9,39,19,8,38,15,2,14,10,38,15,7,31,2,40.5,18,5,25,10,48,21,3,18,10
2,1,1,S,Fernando,X1,hshd,h,shd,66,40,14,10,82,27,12,62,22,4,21,23,61,22,13,146,11,67.5,25,12,113,15,70,28,12,96,10
3,1,1,E,Fernando,X1,hshd,h,shd,66,25,10,7,7,3,6,31,12,2,3,1,29,12,0,0,0,29,12,0,0,0,29,13,0,0,0
4,1,1,W,Fernando,X1,hshd,h,shd,66,29.5,12,7,40,7,15,41.5,17,3,9,15,42,17,12,85,7,47,20,10,46,9,43,18,9,38,2
5,2,2,N,Fernando,X1,hshd,h,shd,66,25,8,4,34,16,14,39,12,2,16,11,39,12,6,34,6,45,15,7,25,8,46,15,5,17,3
6,2,2,S,Fernando,X1,hshd,h,shd,66,26,8,4,38,14,14,45.5,13,2,12,11,45.5,13,9,39,9,48,16,7,26,8,49,16,6,19,6
7,2,2,E,Fernando,X1,hshd,h,shd,66,45.5,14,10,74,32,9,63.5,20,3,26,16,66,20,9,45,12,71,23,5,19,12,81,27,4,10,12
8,2,2,W,Fernando,X1,hshd,h,shd,66,50,15,10,118,48,19,68,21,3,26,11,68,21,5,12,9,62.5,24,3,8,6,44,14,1,2,0
9,3,3,N,Fernando,X1,hshd,h,shd,66,26,9,4,29,15,12,45,14,2,12,19,46,14,10,60,15,52.5,17,9,40,20,59,20,9,20,22
10,3,3,S,Fernando,X1,hshd,h,shd,66,24.5,8,4,22,12,15,41,13,2,10,22,41,13,10,39,18,47.5,15,8,17,18,59,21,7,19,24
11,3,3,E,Fernando,X1,hshd,h,shd,66,26,9,4,32,14,14,39,13,2,12,19,39.5,13,9,44,15,47,16,9,29,19,50,17,5,7,16
12,3,3,W,Fernando,X1,hshd,h,shd,66,19,7,3,8,5,11,42.5,13,1,5,20,42,12,11,65,12,48.5,16,9,42,21,57,19,9,21,9
13,4,4,N,Fernando,X1,hshd,h,shd,66,27,9,3,27,9,18,49,14,2,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
14,4,4,S,Fernando,X1,hshd,h,shd,66,27,24,13,8,4,14,54,15,2,9,24,53.5,15,11,127,16,54.5,18,12,103,17,61,21,9,37,9
15,4,4,E,Fernando,X1,hshd,h,shd,66,29,9,5,30,12,15,49,14,2,7,22,50,14,12,116,18,58,18,11,104,20,61,18,10,80,15
16,4,4,W,Fernando,X1,hshd,h,shd,66,25,9,5,19,9,12,52,16,2,8,19,52,16,13,100,15,58,19,11,61,16,60,17,10,51,11
17,5,5,N,Fernando,X1,hshd,h,shd,0,30,8,2,NA,11,12,32.5,9,2,9,7,33.5,8,7,24,4,41,11,7,23,8,41,13,6,9,2
18,5,5,S,Fernando,X1,hshd,h,shd,0,44,12,6,NA,17,13,56,15,5,15,14,52,13,9,76,11,53,12,8,67,6,45,11,6,29,0
19,5,5,E,Fernando,X1,hshd,h,shd,0,16,6,4,NA,9,9,15,6,2,3,7,15,6,0,0,7,14,6,1,1,7,14,6,0,0,7
20,5,5,W,Fernando,X1,hshd,h,shd,0,26,7,2,NA,9,12,25,7,2,7,7,25.5,7,3,6,3,35.5,11,3,5,10,35,11,2,2,8
21,6,6,N,Fernando,X1,hshd,h,shd,0,28,12,9,NA,106,10,31,12,8,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
22,6,6,S,Fernando,X1,hshd,h,shd,0,46,14,10,NA,104,9,38.5,14,9,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
23,6,6,E,Fernando,X1,hshd,h,shd,0,38,15,10,NA,104,13,42,17,9,66,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
24,6,6,W,Fernando,X1,hshd,h,shd,0,45,18,14,NA,155,14,48.5,17,11,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
